"PEAKID,C,4","YEAR,C,4","SEASON,N,1,0","HOST,N,1,0","NATION,C,20","BCDATE,D","SKI,L","PARAPENTE,L","CAMPS,N,2,0","TOTMEMBERS,N,2,0","SMTMEMBERS,N,2,0","TOTHIRED,N,2,0","O2CLIMB,L","O2SLEEP,L","O2UNKWN,L","AGENCY,C,60","COMRTE,L","STDRTE,L"
MANA,2021,3,1,USA,09/12/21,TRUE,FALSE,4,4,0,4,TRUE,FALSE,FALSE,Shangri-La Nepal Treks,TRUE,TRUE
PANB,2021,3,1,France,10/09/21,TRUE,FALSE,2,15,4,0,FALSE,FALSE,FALSE,Sherpalaya,FALSE,FALSE
EVER,2019,1,2,Italy,04/17/19,TRUE,FALSE,3,4,1,4,TRUE,TRUE,FALSE,Seven Summit Treks,TRUE,TRUE
CHOY,2019,3,2,Spain,09/13/19,TRUE,FALSE,2,6,4,6,TRUE,FALSE,FALSE,Climbalaya,TRUE,TRUE
MANA,2019,3,1,Italy,09/13/19,TRUE,FALSE,4,8,5,4,TRUE,FALSE,FALSE,Satori Adventures,TRUE,TRUE
PUTH,2019,3,1,Germany,10/02/19,TRUE,FALSE,2,8,6,0,FALSE,FALSE,FALSE,Wild Yak Expeditions,FALSE,FALSE
PUTH,2019,3,1,USA,10/02/19,TRUE,FALSE,2,1,1,1,FALSE,FALSE,FALSE,Ski Guides Nepal,FALSE,FALSE
CHOY,2018,1,2,UK,05/01/18,TRUE,FALSE,2,5,5,5,TRUE,TRUE,FALSE,Himalaya Vision,TRUE,TRUE
ANN1,2018,3,1,Russia,09/18/18,TRUE,FALSE,3,2,0,0,FALSE,FALSE,FALSE,Makalu Extreme Treks,FALSE,FALSE
CHOY,2018,3,2,UK,09/07/18,TRUE,FALSE,2,8,6,12,TRUE,FALSE,FALSE,Himalaya Vision,TRUE,TRUE
LHOT,2018,3,1,USA,09/08/18,TRUE,FALSE,3,4,4,7,TRUE,FALSE,FALSE,Xtreme Climbers,FALSE,TRUE
MANA,2018,3,1,China,09/15/18,TRUE,FALSE,4,16,14,13,TRUE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
MANA,2018,3,1,Nepal,09/12/18,TRUE,FALSE,4,8,5,6,TRUE,TRUE,FALSE,Expedition Base (Satori Adventures pmt),TRUE,TRUE
MANA,2018,3,1,Nepal,09/05/18,TRUE,FALSE,4,11,10,8,TRUE,FALSE,FALSE,Imagine Nepal,TRUE,TRUE
PUTH,2018,3,1,Austria,09/25/18,TRUE,FALSE,2,6,2,2,FALSE,FALSE,FALSE,Iceland Trekking,FALSE,FALSE
PUTH,2018,3,1,Germany,09/24/18,TRUE,FALSE,2,5,2,1,FALSE,FALSE,FALSE,Ski Guides Nepal (Iceland Trekking pmt),FALSE,FALSE
SITA,2018,3,1,Spain,10/26/18,TRUE,FALSE,0,2,2,0,FALSE,FALSE,FALSE,,FALSE,FALSE
BHRS,2017,1,1,Switzerland,,TRUE,FALSE,0,7,7,0,FALSE,FALSE,FALSE,Happy Feet Mountaineers,FALSE,FALSE
PANB,2017,3,1,France,11/01/17,TRUE,FALSE,3,10,0,5,FALSE,FALSE,FALSE,Yeti Adventure,FALSE,FALSE
PUTH,2017,3,1,Austria,09/29/17,TRUE,FALSE,3,2,0,2,FALSE,TRUE,FALSE,Iceland Trekking (Hi On Life Adventures pmt),FALSE,FALSE
PUTH,2017,3,1,USA,10/01/17,TRUE,FALSE,2,2,2,0,FALSE,FALSE,FALSE,Iceland Trekking (Hi On Life Adventures pmt),FALSE,FALSE
CHOY,2016,3,2,UK,09/23/16,TRUE,FALSE,2,2,2,2,TRUE,FALSE,FALSE,Shangri-La Nepal Treks,TRUE,TRUE
CHOY,2016,3,2,USA,09/13/16,TRUE,FALSE,3,2,2,2,TRUE,FALSE,FALSE,Shangri-La Nepal Treks,TRUE,TRUE
CHOY,2016,3,2,France,09/21/16,TRUE,FALSE,3,3,1,0,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,TRUE
PAWR,2016,3,1,Norway,10/31/16,TRUE,FALSE,1,7,3,0,FALSE,FALSE,FALSE,Top Himalaya Guides,FALSE,FALSE
MANA,2016,3,1,Nepal,09/17/16,TRUE,FALSE,4,8,0,2,FALSE,FALSE,FALSE,Wild Yak Expeditions,TRUE,TRUE
MANA,2016,3,1,Austria,09/11/16,TRUE,FALSE,4,1,1,1,TRUE,FALSE,FALSE,Iceland Trekking (Satori Adv pmt),TRUE,TRUE
MANA,2015,1,1,Czech Republic,04/15/15,TRUE,FALSE,4,4,1,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,TRUE,TRUE
MAKA,2015,3,1,UK,08/28/15,TRUE,FALSE,4,5,0,4,TRUE,FALSE,FALSE,Shangri-La Nepal Treks,FALSE,TRUE
DHA1,2014,1,1,USA,04/06/14,TRUE,FALSE,3,6,0,0,FALSE,FALSE,FALSE,Su-Swagatam Treks,FALSE,TRUE
DHA1,2014,1,1,Nepal,05/09/14,TRUE,FALSE,3,2,2,2,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE
MANA,2014,3,1,Poland,09/09/14,TRUE,FALSE,4,4,1,0,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE
CHOY,2014,3,2,Poland,09/05/14,TRUE,FALSE,2,1,1,0,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
CHOY,2014,3,2,Germany,09/24/14,TRUE,FALSE,2,3,2,3,TRUE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
CHOY,2014,3,2,Italy,09/06/14,TRUE,FALSE,3,7,5,2,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
PUTH,2014,3,1,Spain,,TRUE,FALSE,0,9,0,0,FALSE,FALSE,FALSE,Four Brothers Adventure Travel,FALSE,FALSE
PUTH,2013,1,1,Switzerland,05/07/13,TRUE,FALSE,3,4,4,2,FALSE,FALSE,FALSE,Prestige Adventure,FALSE,FALSE
MANA,2013,3,1,Austria,09/14/13,TRUE,FALSE,3,4,3,0,FALSE,FALSE,FALSE,Langtang Ri Trekking,TRUE,TRUE
CHOY,2013,3,2,UK,09/09/13,TRUE,FALSE,2,2,2,3,TRUE,FALSE,FALSE,Himalayan Guides,TRUE,TRUE
PUMO,2013,3,1,Switzerland,09/15/13,TRUE,FALSE,0,3,0,0,FALSE,FALSE,FALSE,Wild Yak Expeditions,FALSE,FALSE
CHOY,2013,3,2,Italy,09/12/13,TRUE,FALSE,2,2,2,1,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
MANA,2012,1,1,Germany,04/21/12,TRUE,FALSE,4,5,0,0,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
MANA,2012,1,1,Poland,04/17/12,TRUE,FALSE,4,8,0,0,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE
HIML,2012,3,1,USA,10/22/12,TRUE,FALSE,3,3,3,0,FALSE,FALSE,FALSE,Asian Trekking,FALSE,FALSE
MAKA,2012,3,1,UK,09/15/12,TRUE,FALSE,3,7,0,5,FALSE,FALSE,FALSE,Sherpa Shangri-La Trekking,FALSE,TRUE
MANA,2012,3,1,Germany,09/06/12,TRUE,FALSE,2,6,1,1,FALSE,FALSE,FALSE,Ramdung Expedition,TRUE,TRUE
MANA,2012,3,1,Italy,09/11/12,TRUE,FALSE,3,8,1,2,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
