PEAKID,YEAR,SEASON,HOST,NATION,BCDATE,SKI,PARAPENTE,CAMPS,TOTMEMBERS,TOTHIRED,O2CLIMB,O2SLEEP,O2UNKWN,AGENCY,COMMERCIALROUTE,STDROUTE,SUMMIT_SUCCESS
MANA,2021,3,1,USA,09/12/21,TRUE,FALSE,4,4,4,TRUE,FALSE,FALSE,Shangri-La Nepal Treks,TRUE,TRUE,0
ANN1,2018,3,1,Russia,09/18/18,TRUE,FALSE,3,2,0,FALSE,FALSE,FALSE,Makalu Extreme Treks,FALSE,FALSE,0
PANB,2017,3,1,France,11/01/17,TRUE,FALSE,3,10,5,FALSE,FALSE,FALSE,Yeti Adventure,FALSE,FALSE,0
PUTH,2017,3,1,Austria,09/29/17,TRUE,FALSE,3,2,2,FALSE,TRUE,FALSE,Iceland Trekking (Hi On Life Adventures pmt),FALSE,FALSE,0
MANA,2016,3,1,Nepal,09/17/16,TRUE,FALSE,4,8,2,FALSE,FALSE,FALSE,Wild Yak Expeditions,TRUE,TRUE,0
MAKA,2015,3,1,UK,08/28/15,TRUE,FALSE,4,5,4,TRUE,FALSE,FALSE,Shangri-La Nepal Treks,FALSE,TRUE,0
DHA1,2014,1,1,USA,04/06/14,TRUE,FALSE,3,6,0,FALSE,FALSE,FALSE,Su-Swagatam Treks,FALSE,TRUE,0
PUTH,2014,3,1,Spain,,TRUE,FALSE,0,9,0,FALSE,FALSE,FALSE,Four Brothers Adventure Travel,FALSE,FALSE,0
PUMO,2013,3,1,Switzerland,09/15/13,TRUE,FALSE,0,3,0,FALSE,FALSE,FALSE,Wild Yak Expeditions,FALSE,FALSE,0
MANA,2012,1,1,Germany,04/21/12,TRUE,FALSE,4,5,0,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE,0
MANA,2012,1,1,Poland,04/17/12,TRUE,FALSE,4,8,0,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE,0
MAKA,2012,3,1,UK,09/15/12,TRUE,FALSE,3,7,5,FALSE,FALSE,FALSE,Sherpa Shangri-La Trekking,FALSE,TRUE,0
DHA1,2011,1,1,USA,04/12/11,TRUE,FALSE,2,2,0,FALSE,FALSE,FALSE,Monterosa Treks,FALSE,TRUE,0
LHOT,2011,1,1,USA,04/20/11,TRUE,FALSE,4,2,0,FALSE,FALSE,FALSE,High Altitude Dreams,FALSE,TRUE,0
CHOY,2011,3,2,Portugal,09/03/11,TRUE,FALSE,2,1,0,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE,0
CHOY,2011,3,2,Italy,09/07/11,TRUE,FALSE,0,5,1,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE,0
MANA,2010,3,1,USA,09/16/10,TRUE,FALSE,2,6,2,FALSE,FALSE,FALSE,Active Holiday Nepal Treks,TRUE,TRUE,0
MANA,2010,3,1,USA,09/16/10,TRUE,FALSE,2,1,0,FALSE,FALSE,FALSE,Active Holiday Nepal Treks,TRUE,TRUE,0
CHOY,2009,3,2,Iran,09/08/09,TRUE,FALSE,2,1,0,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE,0
ANN2,2008,1,1,USA,04/30/08,TRUE,FALSE,3,4,0,FALSE,FALSE,FALSE,Mountain Tribes Trekking,FALSE,FALSE,0
MANA,2008,1,1,Italy,04/23/08,TRUE,FALSE,4,2,0,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE,0
MANA,2008,3,1,Austria,08/29/08,TRUE,FALSE,2,10,2,FALSE,FALSE,FALSE,Thamserku Trekking (Rai),TRUE,TRUE,0
CHOY,2008,3,2,Spain,09/15/08,TRUE,FALSE,3,8,0,FALSE,FALSE,FALSE,Thamserku Trekking,TRUE,TRUE,0
KANG,2008,3,1,Sweden,10/01/08,TRUE,FALSE,2,2,0,FALSE,FALSE,FALSE,Loben Expeditions,FALSE,TRUE,0
MANA,2008,3,1,Japan,09/19/08,TRUE,FALSE,4,3,0,FALSE,FALSE,FALSE,Bochi Bochi Treks,TRUE,TRUE,0
EVER,2007,1,2,USA,05/12/07,TRUE,FALSE,3,3,3,FALSE,FALSE,FALSE,None,TRUE,TRUE,0
LHOT,2007,1,1,USA,04/07/07,TRUE,FALSE,4,1,0,TRUE,FALSE,FALSE,Mountain Madness,FALSE,TRUE,0
GHAN,2007,3,1,France,10/13/07,TRUE,FALSE,0,5,1,FALSE,FALSE,FALSE,Pike Peak Trekking,FALSE,FALSE,0
